id,elevation,capture_time,file_name,Y,X,Z,time
262,837.2000122,2019-04-27T01:28:16.000Z,activity_3593740764.gpx,5481542.467,473939.1888,837.2000122,1556328496000
263,837.2000122,2019-04-27T01:28:18.000Z,activity_3593740764.gpx,5481538.845,473938.5219,837.2000122,1556328498000
264,837.7999878,2019-04-27T01:28:23.000Z,activity_3593740764.gpx,5481532.614,473939.6638,837.7999878,1556328503000
265,838.2000122,2019-04-27T01:28:24.000Z,activity_3593740764.gpx,5481532.001,473939.3816,838.2000122,1556328504000
266,838.5999756,2019-04-27T01:28:25.000Z,activity_3593740764.gpx,5481531.099,473938.8916,838.5999756,1556328505000
267,839,2019-04-27T01:28:26.000Z,activity_3593740764.gpx,5481530.256,473937.8252,839,1556328506000
268,839.2000122,2019-04-27T01:28:27.000Z,activity_3593740764.gpx,5481529.488,473936.832,839.2000122,1556328507000
269,839.4000244,2019-04-27T01:28:30.000Z,activity_3593740764.gpx,5481526.138,473933.7865,839.4000244,1556328510000
270,839.4000244,2019-04-27T01:28:31.000Z,activity_3593740764.gpx,5481525.078,473933.2472,839.4000244,1556328511000
271,839.5999756,2019-04-27T01:28:35.000Z,activity_3593740764.gpx,5481519.437,473932.0425,839.5999756,1556328515000
272,840,2019-04-27T01:28:40.000Z,activity_3593740764.gpx,5481516.031,473934.8918,840,1556328520000
273,840.4000244,2019-04-27T01:28:42.000Z,activity_3593740764.gpx,5481517.521,473937.1755,840.4000244,1556328522000
274,841.2000122,2019-04-27T01:28:46.000Z,activity_3593740764.gpx,5481520.147,473941.456,841.2000122,1556328526000
275,841.4000244,2019-04-27T01:28:47.000Z,activity_3593740764.gpx,5481520.69,473942.7395,841.4000244,1556328527000
276,841.4000244,2019-04-27T01:28:53.000Z,activity_3593740764.gpx,5481527.989,473950.1871,841.4000244,1556328533000
277,841.5999756,2019-04-27T01:28:56.000Z,activity_3593740764.gpx,5481531.13,473953.9054,841.5999756,1556328536000
278,841.4000244,2019-04-27T01:29:00.000Z,activity_3593740764.gpx,5481535.191,473958.2716,841.4000244,1556328540000
279,841.5999756,2019-04-27T01:29:03.000Z,activity_3593740764.gpx,5481538.661,473961.4086,841.5999756,1556328543000
280,841.5999756,2019-04-27T01:29:05.000Z,activity_3593740764.gpx,5481540.442,473963.0442,841.5999756,1556328545000
281,842.4000244,2019-04-27T01:29:09.000Z,activity_3593740764.gpx,5481545.064,473966.982,842.4000244,1556328549000
282,842.7999878,2019-04-27T01:29:11.000Z,activity_3593740764.gpx,5481547.253,473969.2994,842.7999878,1556328551000
283,843.2000122,2019-04-27T01:29:14.000Z,activity_3593740764.gpx,5481544.38,473971.7262,843.2000122,1556328554000
284,843.5999756,2019-04-27T01:29:20.000Z,activity_3593740764.gpx,5481536.982,473971.4845,843.5999756,1556328560000
285,844.5999756,2019-04-27T01:29:27.000Z,activity_3593740764.gpx,5481527.25,473968.3116,844.5999756,1556328567000
286,845.2000122,2019-04-27T01:29:33.000Z,activity_3593740764.gpx,5481520.124,473965.8249,845.2000122,1556328573000
287,845.2000122,2019-04-27T01:29:34.000Z,activity_3593740764.gpx,5481520.604,473966.8046,845.2000122,1556328574000
288,845.7999878,2019-04-27T01:29:37.000Z,activity_3593740764.gpx,5481522.773,473969.1584,845.7999878,1556328577000
289,846,2019-04-27T01:29:39.000Z,activity_3593740764.gpx,5481524.507,473970.8726,846,1556328579000
290,846.2000122,2019-04-27T01:29:46.000Z,activity_3593740764.gpx,5481533.045,473976.4804,846.2000122,1556328586000
291,846.4000244,2019-04-27T01:29:50.000Z,activity_3593740764.gpx,5481537.715,473979.9328,846.4000244,1556328590000
292,846.7999878,2019-04-27T01:29:53.000Z,activity_3593740764.gpx,5481541.421,473982.6278,846.7999878,1556328593000
293,847.7999878,2019-04-27T01:29:58.000Z,activity_3593740764.gpx,5481546.702,473988.9425,847.7999878,1556328598000
294,848,2019-04-27T01:29:59.000Z,activity_3593740764.gpx,5481546.583,473990.4718,848,1556328599000
295,848.2000122,2019-04-27T01:30:00.000Z,activity_3593740764.gpx,5481545.628,473991.3718,848.2000122,1556328600000
296,849,2019-04-27T01:30:04.000Z,activity_3593740764.gpx,5481540.825,473992.2171,849,1556328604000
297,849.7999878,2019-04-27T01:30:12.000Z,activity_3593740764.gpx,5481529.421,473989.9408,849.7999878,1556328612000
298,850,2019-04-27T01:30:15.000Z,activity_3593740764.gpx,5481523.997,473988.0026,850,1556328615000
299,850.2000122,2019-04-27T01:30:19.000Z,activity_3593740764.gpx,5481518.136,473983.9799,850.2000122,1556328619000
300,849.2000122,2019-04-27T01:30:24.000Z,activity_3593740764.gpx,5481506.822,473972.4699,849.2000122,1556328624000
301,849,2019-04-27T01:30:25.000Z,activity_3593740764.gpx,5481504.299,473970.1266,849,1556328625000
302,848.7999878,2019-04-27T01:30:28.000Z,activity_3593740764.gpx,5481498.473,473966.4502,848.7999878,1556328628000
303,849.2000122,2019-04-27T01:30:29.000Z,activity_3593740764.gpx,5481497.04,473966.0305,849.2000122,1556328629000
304,849.5999756,2019-04-27T01:30:31.000Z,activity_3593740764.gpx,5481497.078,473967.7791,849.5999756,1556328631000
305,849.5999756,2019-04-27T01:30:32.000Z,activity_3593740764.gpx,5481497.331,473969.5531,849.5999756,1556328632000
306,849.7999878,2019-04-27T01:30:33.000Z,activity_3593740764.gpx,5481497.325,473970.7612,849.7999878,1556328633000
307,850,2019-04-27T01:30:35.000Z,activity_3593740764.gpx,5481497.527,473973.3423,850,1556328635000
308,850.5999756,2019-04-27T01:30:38.000Z,activity_3593740764.gpx,5481499.608,473976.7217,850.5999756,1556328638000
309,851.2000122,2019-04-27T01:30:41.000Z,activity_3593740764.gpx,5481503.334,473980.7949,851.2000122,1556328641000
310,851.5999756,2019-04-27T01:30:44.000Z,activity_3593740764.gpx,5481507.631,473984.5855,851.5999756,1556328644000
311,851.7999878,2019-04-27T01:30:51.000Z,activity_3593740764.gpx,5481516.202,473992.974,851.7999878,1556328651000
312,852.2000122,2019-04-27T01:30:56.000Z,activity_3593740764.gpx,5481521.057,473998.6735,852.2000122,1556328656000
313,852.4000244,2019-04-27T01:30:57.000Z,activity_3593740764.gpx,5481522.152,473999.644,852.4000244,1556328657000
314,853.2000122,2019-04-27T01:30:59.000Z,activity_3593740764.gpx,5481524.621,474001.8414,853.2000122,1556328659000
315,853.4000244,2019-04-27T01:31:00.000Z,activity_3593740764.gpx,5481525.883,474002.8187,853.4000244,1556328660000
316,853.7999878,2019-04-27T01:31:05.000Z,activity_3593740764.gpx,5481529.824,474005.0231,853.7999878,1556328665000
317,853.7999878,2019-04-27T01:31:06.000Z,activity_3593740764.gpx,5481530.884,474005.532,853.7999878,1556328666000
318,854,2019-04-27T01:31:08.000Z,activity_3593740764.gpx,5481532.957,474008.4438,854,1556328668000
319,854,2019-04-27T01:31:09.000Z,activity_3593740764.gpx,5481532.457,474009.8499,854,1556328669000
320,854.2000122,2019-04-27T01:31:10.000Z,activity_3593740764.gpx,5481531.464,474010.853,854.2000122,1556328670000
321,854.4000244,2019-04-27T01:31:11.000Z,activity_3593740764.gpx,5481530.4,474011.2911,854.4000244,1556328671000
322,855,2019-04-27T01:31:14.000Z,activity_3593740764.gpx,5481526.59,474013.0275,855,1556328674000
323,855.5999756,2019-04-27T01:31:16.000Z,activity_3593740764.gpx,5481523.801,474013.597,855.5999756,1556328676000
324,856,2019-04-27T01:31:20.000Z,activity_3593740764.gpx,5481519.02,474013.5196,856,1556328680000
325,856,2019-04-27T01:31:21.000Z,activity_3593740764.gpx,5481517.707,474013.3494,856,1556328681000
326,856.2000122,2019-04-27T01:31:22.000Z,activity_3593740764.gpx,5481516.376,474013.1792,856.2000122,1556328682000
327,856.4000244,2019-04-27T01:31:23.000Z,activity_3593740764.gpx,5481515.267,474013.1193,856.4000244,1556328683000
328,856.5999756,2019-04-27T01:31:24.000Z,activity_3593740764.gpx,5481514.027,474013.1558,856.5999756,1556328684000
329,856.5999756,2019-04-27T01:31:25.000Z,activity_3593740764.gpx,5481512.891,474013.0654,856.5999756,1556328685000
330,856.5999756,2019-04-27T01:31:27.000Z,activity_3593740764.gpx,5481510.283,474012.7798,856.5999756,1556328687000
331,857.4000244,2019-04-27T01:31:34.000Z,activity_3593740764.gpx,5481501.084,474011.1515,857.4000244,1556328694000
332,857.5999756,2019-04-27T01:31:37.000Z,activity_3593740764.gpx,5481496.569,474008.1127,857.5999756,1556328697000
333,857.5999756,2019-04-27T01:31:40.000Z,activity_3593740764.gpx,5481490.052,474002.9698,857.5999756,1556328700000
334,857.4000244,2019-04-27T01:31:43.000Z,activity_3593740764.gpx,5481480.803,473996.2112,857.4000244,1556328703000
335,857.2000122,2019-04-27T01:31:44.000Z,activity_3593740764.gpx,5481478.415,473994.7671,857.2000122,1556328704000
336,857.5999756,2019-04-27T01:31:49.000Z,activity_3593740764.gpx,5481471.293,473993.3611,857.5999756,1556328709000
337,857.7999878,2019-04-27T01:31:50.000Z,activity_3593740764.gpx,5481471.447,473994.2239,857.7999878,1556328710000
